此段落最初的2-5句話,此段落最末的2-5句話,段落大意
蕭峰正觀看間，忽聽得有人大聲叫道：「那邊是蕭大爺吧？」,次晨起身又行，這一日向西走了二百餘裡，傍晚又在一處大帳中宿歇。,室里認出蕭峯，邀他去見耶律基，並說明日是練武日可以一起來看看。
到得第三日中午，室裡道：「過了前面那個山坡，咱們便到了。」,她是星宿派門人，精通諂諛之術，說這句話只是牛刀小試而已。,走了三日終於到主帳營，蕭峯驚訝耶律基竟是皇帝，本名是耶律洪基，宴席上蕭峯喝了百杯仍是神色自若，眾人無不駭然，阿紫伶牙俐齒稱讚耶律洪基。
耶律洪基呵呵大笑，說道：「說得好，說得好。,耶律洪基大吃一驚，不由得臉色大變。,宴席到一半乎有號角響起，眾人臉上驚惶，耶律洪基鎮定喊拔營回京，聽聞皇后王子等人被捕，不由臉色大變。
遼國軍國重事，現由南北兩院分理。,素知涅魯古性子陰鷙，處事狠辣，他既舉事謀反，他父親決無袖手之理。,遼分南北院理，此次南院楚王造反，耶律洪基認為皇太叔不會置之不理。
北院大王奏道：「陛下且寬聖慮，想皇太叔見事明白，必不容他逆子造反犯上，說不定此刻已引兵平亂。」,群臣對耶律洪基都極忠心，願決死戰，但均以軍心為憂。,議論時，報子趕來說南院大王以立皇太叔為帝昭告天下，並且北來犯駕，雖大家都願決死戰，卻以軍心為憂。
耶律洪基傳下號令：「眾官兵出力平逆討賊，靖難之後，升官以外，再加重賞。」,我當設法將義兄和阿紫救到安全之地。他這皇帝呢，做不做也就罷了。」,耶律洪基帶兵前去迎擊，路上牽馬免其疲勞，遠處塵頭大起，耶律洪基下令結陣立寨。
遼帝營寨結好不久，叛軍前鋒便到，卻不上前挑戰，,武林中的群毆比武與之相較，那是不可同日而語了。」,一開始交戰，叛軍陣營在皇上的積威下不敢輕舉妄動，使御營士兵有機可乘。
忽聽得叛軍陣後鑼聲大響，鳴金收兵。,禦營官兵齊呼：「萬歲，萬歲，萬歲！」,耶律洪基佯裝敗退，實則設陷阱引叛軍來，一次擊敗，相信只要再接一仗，他們便要敗逃了！
忽聽得叛軍陣中吹起號角，五騎馬緩緩出來，居中一人雙手捧著一張羊皮，,那楚王鞭子一揮，叛軍齊聲大噪，大都是啊啊亂叫，喧嘩呼喊，登時便將十人的罵聲淹沒了。,叛軍說皇太叔的詔書，北院大王要罵手出去回罵。
亂了一陣，敵軍忽然分開，推出數十輛車子，來到禦營之前，,他左手一揮，鼓聲又起。,混亂中叛軍將抓來的皇親和士兵們的家屬端了出來。
禦營眾將士知道他左手再是一揮，鼓聲停止，,楚軍見仰攻不利，當即收兵，在山下安營。,有些將士承受不住都跑了出去，一片混亂，耶律洪基向西北退軍。
這日晚間，耶律洪基站在山崖之旁，向南眺望。,洪基熱淚盈眶，握住他雙手，說道：「好兄弟，多謝你了。」,耶律洪基想讓蕭峯走，蕭峯卻說願與他同生共死，耶律洪基感動。
蕭峰回到帳中，見阿紫蜷臥在帳幕一角，睜著一雙圓圓的大眼，兀自未睡。,大家均知明晨這一仗性命難保，不過各人忠於皇上，不肯背叛。,阿紫愧疚，若不是她貪玩，兩人也不會遇到這些事，並說要永遠與蕭峯再一起步離開他。
次晨蕭峰一早便醒了，囑咐室裡隊長備好馬匹，照料阿紫，,楚王大叫：「洪基，你還不自刎，更待何時？」手中馬鞭直指其面，囂張已極。,楚王叫耶律洪基自刎，這樣還能保全其餘人的性命。
蕭峰見他越走越近，心念一動，低聲道：「大哥，你跟他信口敷衍，我悄悄掩近身去，射他一箭。」,皇太叔嚇得呆了，說不出話來。,蕭峯心生一計，要耶律洪基敷衍，蕭峯趁機下山殺了楚王，並抓了皇太叔。
這時叛軍中的擾攘之聲震耳欲聾，成千成萬的官兵彎弓搭箭，對準了蕭峰,軍官士兵各就原職，大家快快放下兵刃，不放兵刃的便即斬首！」,蕭峯說只要放下兵刃，便不追究過錯。
一片寂靜之中，忽然嗆啷啷、嗆啷啷幾聲響，有幾人擲下手中長矛。,眾叛軍誰也不敢違抗，但聽得嗆啷啷之聲響成一片，眾叛軍都投下了兵刃。,多數人都把兵器丟下，皇太叔本無奪帝之念頭，全因楚王，如今只求能免於一死。
蕭峰押著皇太叔上得蒼茫山來。耶律洪基喜不自勝，如在夢中,另由耶律莫哥分派處理，一切井井有條。,耶律洪基感激，封蕭峯為南院大王，一同回京。
蕭峰帶領大軍出發不久，皇太后和皇后分別派了使者，到軍中賜給袍帶金銀。,長的隊伍行列直伸展到天際，不見盡頭，前後左右，盡是衛士部屬。,皇太后等人送來謝禮，阿紫驕傲，兩人並肩而行。
阿紫心中歡喜，說道：「那日你幫我奪得了星宿派傳人之位，,我在一旁拍手贊成。」蕭峰苦笑搖頭。,阿紫與蕭峯聊到勇敢，阿紫提起聚賢莊，蕭峯苦笑。
