此段落的最初2-5句話,此段落的最末2-5句話,段落大意
丐幫群丐一團高興地趕來少林寺，雄心勃勃，只盼憑著幫主深不可測的武功，,說不上正題。」當下又微微一笑，並不答話。,丐幫群眾來到少林寺想靠幫主得到武林盟主地位，後來打消念頭要下山時，包不同問起易大彪，與陳長老對話。
包不同搖頭道：「非也，非也！你跟我抬杠,全冠清叫我下的號令，這不……不關我事。」,包不同說起半個月前遇到一群丐幫死在路上，尚有一口氣的人就是易大彪，給了他西夏國國王的榜文要交回丐幫。他揭露是莊幫主派人殺他們的，游坦之供出是全冠清的下令的。
呂長老不願當著群雄面前自暴本幫之醜，狠狠向全冠清瞪了一瞪，,如此侮慢當世英雄，你丐幫忒也無禮。」,包不同並未交出西夏國國王的榜文，說要以打賭的方式來決定給西夏國的訊息或拿走布袋與蠍子解毒藥。
陳長老道：「包兄取笑了，在下決無此意。,專從「我」與「我們」之間的差異上大做文章。,包不同從丐幫拿到裝有蠍子的布袋，叫公冶乾拿出榜文，故意賣弄文字。
包不同又道：「這張榜文，是易大彪交在我公冶二哥手中的。,再來進攻大宋，咱們炎黃子孫個個要做亡國奴了。」,包不同沒有給出榜文，請丐幫幫忙擒下喬峰，他們便會翻譯榜文給丐幫。
群雄都覺這話甚是有理，只是玄慈圓寂、莊聚賢腳斷，,大夥不可傷了和氣，更不得鬥毆攻殺。」,全冠清想慫恿少林寺與丐幫去殺蕭峰父子。虛竹囑咐靈鷲宮手下不可打鬥。
玄寂見了靈鷲宮這等聲勢，情知大是勁敵，,羞憤難當之故，王語嫣念及此事，對段譽大是恚怒。,玄寂問虛竹會幫助誰，他說他想邊都不幫，只能勸。呂長老率丐幫一起回到少林寺，語嫣對斷語有所怨懟。
段譽一怔，停了腳步。,「他們說蕭大哥到了後山，我這就去瞧瞧。」,段譽雖被語嫣指責，還是打算去幫助蕭峰。他進入少林寺，走到藏經閣，剛好聽到玄寂在說話。
少室後山地勢險峻，林密路陡，段譽走出數裡,卻是吐蕃國師鳩摩智，臉露譏嘲之色，顯得心中不服。,虛竹遇到了蕭遠山、蕭峰父子，慕容博、慕容復父子，以及來自別寺的幾位高僧、少林寺好幾位玄字輩高僧，在聽佛法。
段譽出身于佛國，自幼即隨高僧研習佛法，,「阿彌陀佛！」便已人事不知了。,段譽好奇想靠近那些人，結果突然被攻擊。
